Date,Station_Name,AGO_Sales (L),PMS_Sales (L),Lubricant_Sales (L),Diesel_Sales (L),LPG_Sales (kg),Total_Revenue (₦),Product_Category,Shift,Weekday,Total_Fuel_Sales,Non_Fuel_Sales,Day_Type
2025-02-27,Idimu,6992,13781,1021,15192,2195,30566840,Cooking Gas,Afternoon,Thursday,35965,3216,Weekday
2025-02-28,Iwaya,12928,15361,1257,10803,1091,31980460,Lubricant,Night,Friday,39092,2348,Weekday
2025-03-01,Maryland,7875,24183,825,9025,1563,32004250,Lubricant,Morning,Saturday,41083,2388,Weekend
2025-03-02,Idimu,7026,26288,989,17048,2906,40784160,Cooking Gas,Morning,Sunday,50362,3895,Weekend
2025-03-03,Iwaya,5363,22876,1028,15330,1889,35123900,Lubricant,Night,Monday,43569,2917,Weekday
2025-03-04,Maryland,12223,23134,946,16595,2267,41631200,Lubricant,Night,Tuesday,51952,3213,Weekday
2025-03-05,Idimu,5586,27406,595,8004,2802,32138380,Lubricant,Afternoon,Wednesday,40996,3397,Weekday
2025-03-06,Iwaya,6444,23553,552,8482,1123,29156240,Lubricant,Night,Thursday,38479,1675,Weekday
2025-03-07,Maryland,13456,15477,651,11840,1768,32665650,Cooking Gas,Night,Friday,40773,2419,Weekday
2025-03-08,Idimu,12007,23294,698,18663,1191,41858360,Automotive Fuel,Night,Saturday,53964,1889,Weekend
2025-03-09,Iwaya,7596,27478,589,19120,1417,41618550,Automotive Fuel,Morning,Sunday,54194,2006,Weekend
2025-03-10,Maryland,8609,22850,944,8407,2105,31880240,Automotive Fuel,Afternoon,Monday,39866,3049,Weekday
2025-03-11,Idimu,8072,14595,930,9234,2498,27095930,Lubricant,Night,Tuesday,31901,3428,Weekday
2025-03-12,Iwaya,12058,12480,1137,13919,2495,32963830,Lubricant,Afternoon,Wednesday,38457,3632,Weekday
2025-03-13,Maryland,8916,28336,751,15712,2779,41853390,Automotive Fuel,Afternoon,Thursday,52964,3530,Weekday
2025-03-14,Idimu,10597,19093,722,15093,1586,35526560,Lubricant,Afternoon,Friday,44783,2308,Weekday
2025-03-15,Iwaya,13225,17071,760,9285,1445,31376850,Cooking Gas,Morning,Saturday,39581,2205,Weekend
2025-03-16,Maryland,11250,18475,523,17617,2963,38456740,Lubricant,Afternoon,Sunday,47342,3486,Weekend
2025-03-17,Idimu,13855,23897,582,13686,1785,39828070,Cooking Gas,Morning,Monday,51438,2367,Weekday
2025-03-18,Iwaya,13376,28557,842,15362,2711,45179240,Cooking Gas,Afternoon,Tuesday,57295,3553,Weekday
2025-03-19,Maryland,10988,13443,519,13447,2966,31564590,Cooking Gas,Morning,Wednesday,37878,3485,Weekday
2025-03-20,Idimu,9689,14666,1449,9141,1888,28798070,Lubricant,Morning,Thursday,33496,3337,Weekday
2025-03-21,Iwaya,8012,20677,1385,19624,2754,40651630,Cooking Gas,Morning,Friday,48313,4139,Weekday
2025-03-22,Maryland,9848,15310,1324,10046,1082,29142920,Cooking Gas,Night,Saturday,35204,2406,Weekend
2025-03-23,Idimu,6352,11946,770,19276,1319,30996370,Automotive Fuel,Afternoon,Sunday,37574,2089,Weekend
2025-03-24,Iwaya,9141,27775,1043,19904,2854,45742680,Lubricant,Night,Monday,56820,3897,Weekday
2025-03-25,Maryland,14497,18454,694,19406,1320,41290770,Automotive Fuel,Night,Tuesday,52357,2014,Weekday
2025-03-26,Idimu,13954,25040,710,9173,2661,37945210,Lubricant,Morning,Wednesday,48167,3371,Weekday
2025-03-27,Iwaya,13870,29055,600,12208,1884,42100210,Cooking Gas,Night,Thursday,55133,2484,Weekday
2025-03-28,Maryland,10686,20427,659,8038,2597,31408660,Lubricant,Morning,Friday,39151,3256,Weekday
2025-03-29,Idimu,6783,22937,1461,16701,2183,38468670,Cooking Gas,Afternoon,Saturday,46421,3644,Weekend
2025-03-30,Iwaya,12073,15571,913,17507,2000,37057640,Lubricant,Afternoon,Sunday,45151,2913,Weekend
2025-03-31,Maryland,12413,27825,1173,11653,2488,41412260,Cooking Gas,Night,Monday,51891,3661,Weekday
2025-01-01,Idimu,11963,15312,1479,17937,2874,39034290,Cooking Gas,Morning,Wednesday,45212,4353,Weekday
2025-01-02,Iwaya,14330,13624,1012,19825,2683,40164150,Cooking Gas,Afternoon,Thursday,47779,3695,Weekday
2025-01-03,Maryland,14799,24510,741,9810,2513,38693000,Lubricant,Afternoon,Friday,49119,3254,Weekday
2025-01-04,Idimu,6935,12114,1109,8362,1593,23504240,Automotive Fuel,Night,Saturday,27411,2702,Weekend
2025-01-05,Iwaya,7553,18868,1165,18606,2749,37852520,Lubricant,Afternoon,Sunday,45027,3914,Weekend
2025-01-06,Maryland,9342,20393,1267,16681,2278,38410670,Cooking Gas,Morning,Monday,46416,3545,Weekday
2025-01-07,Idimu,10309,16396,912,8888,2104,29289710,Lubricant,Morning,Tuesday,35593,3016,Weekday
2025-01-08,Iwaya,10621,21401,1330,10711,1197,34336870,Lubricant,Night,Wednesday,42733,2527,Weekday
2025-01-09,Maryland,7018,25283,1261,8703,2383,33381460,Lubricant,Afternoon,Thursday,41004,3644,Weekday
2025-01-10,Idimu,11012,23298,1330,16892,2278,41850440,Lubricant,Night,Friday,51202,3608,Weekday
2025-01-11,Iwaya,13608,26542,1228,10665,2567,40841550,Automotive Fuel,Afternoon,Saturday,50815,3795,Weekend
2025-01-12,Maryland,13099,11319,1287,16818,1787,35065310,Cooking Gas,Night,Sunday,41236,3074,Weekend
2025-01-13,Idimu,9896,21316,521,16234,1839,37194430,Cooking Gas,Night,Monday,47446,2360,Weekday
2025-01-14,Iwaya,8241,26339,734,16303,1497,39410010,Lubricant,Night,Tuesday,50883,2231,Weekday
2025-01-15,Maryland,10455,19595,1203,17842,1416,38818040,Lubricant,Morning,Wednesday,47892,2619,Weekday
2025-01-16,Idimu,12836,17980,1423,16622,2678,40066340,Automotive Fuel,Morning,Thursday,47438,4101,Weekday
2025-01-17,Iwaya,8552,18631,924,16678,2174,35896010,Cooking Gas,Morning,Friday,43861,3098,Weekday
2025-01-18,Maryland,6630,11099,1174,17985,2140,31101550,Cooking Gas,Night,Saturday,35714,3314,Weekend
2025-01-19,Idimu,12942,20314,817,13487,2275,37537690,Cooking Gas,Morning,Sunday,46743,3092,Weekend
2025-01-20,Iwaya,14502,24333,1487,11816,1104,40294470,Lubricant,Afternoon,Monday,50651,2591,Weekday
2025-01-21,Maryland,5799,24167,1456,19411,1261,39958670,Automotive Fuel,Afternoon,Tuesday,49377,2717,Weekday
2025-01-22,Idimu,12157,14364,637,13373,1373,31861260,Lubricant,Afternoon,Wednesday,39894,2010,Weekday
2025-01-23,Iwaya,14828,29890,754,8295,2468,40957200,Lubricant,Morning,Thursday,53013,3222,Weekday
2025-01-24,Maryland,11958,26842,574,10779,2778,38763880,Cooking Gas,Night,Friday,49579,3352,Weekday
2025-01-25,Idimu,10119,14699,981,13335,1658,31449600,Automotive Fuel,Morning,Saturday,38153,2639,Weekend
2025-01-26,Iwaya,10824,15257,1061,14004,2466,33736430,Lubricant,Night,Sunday,40085,3527,Weekend
2025-01-27,Maryland,11055,11763,1298,12169,1276,29596380,Lubricant,Night,Monday,34987,2574,Weekday
2025-01-28,Idimu,7563,17729,919,11787,2279,30636590,Cooking Gas,Night,Tuesday,37079,3198,Weekday
2025-01-29,Iwaya,8287,13155,1038,11296,2977,28635170,Lubricant,Morning,Wednesday,32738,4015,Weekday
2025-01-30,Maryland,5678,10088,977,19187,2222,30391740,Cooking Gas,Morning,Thursday,34953,3199,Weekday
2025-01-31,Idimu,7047,27617,668,10363,2994,35614860,Automotive Fuel,Afternoon,Friday,45027,3662,Weekday
2025-02-01,Iwaya,7545,23783,1233,14797,2020,37434240,Lubricant,Night,Saturday,46125,3253,Weekend
2025-02-02,Maryland,14118,20402,1310,11652,1695,37465190,Automotive Fuel,Morning,Sunday,46172,3005,Weekend
2025-02-03,Idimu,8288,28622,585,13435,1243,38063550,Cooking Gas,Afternoon,Monday,50345,1828,Weekday
2025-02-04,Iwaya,7397,25250,869,11468,1331,34233360,Cooking Gas,Morning,Tuesday,44115,2200,Weekday
2025-02-05,Maryland,12105,19889,1417,8496,2762,34155020,Lubricant,Night,Wednesday,40490,4179,Weekday
2025-02-06,Idimu,8843,26943,957,16315,1118,40387800,Cooking Gas,Morning,Thursday,52101,2075,Weekday
2025-02-07,Iwaya,11467,10924,1193,18177,2777,35352440,Automotive Fuel,Afternoon,Friday,40568,3970,Weekday
2025-02-08,Maryland,11774,12632,505,10240,2203,28320650,Automotive Fuel,Morning,Saturday,34646,2708,Weekend
2025-02-09,Idimu,13519,28399,1299,19837,2700,49757940,Cooking Gas,Morning,Sunday,61755,3999,Weekend
2025-02-10,Iwaya,9453,28582,708,18544,1627,43673080,Lubricant,Night,Monday,56579,2335,Weekday
2025-02-11,Maryland,12797,22412,1018,18254,2576,43359430,Lubricant,Morning,Tuesday,53463,3594,Weekday
2025-02-12,Idimu,11093,10660,1187,10523,1576,27591210,Lubricant,Morning,Wednesday,32276,2763,Weekday
2025-02-13,Iwaya,12490,11182,1095,18252,1309,34905090,Automotive Fuel,Morning,Thursday,41924,2404,Weekday
2025-02-14,Maryland,14491,12315,1355,9027,2744,31317540,Automotive Fuel,Morning,Friday,35833,4099,Weekday
2025-02-15,Idimu,12875,18664,1248,9616,2735,34493720,Cooking Gas,Morning,Saturday,41155,3983,Weekend
2025-02-16,Iwaya,5635,11112,1140,12572,2576,26227690,Automotive Fuel,Morning,Sunday,29319,3716,Weekend
2025-02-17,Maryland,6386,16186,555,9145,2478,26025600,Automotive Fuel,Night,Monday,31717,3033,Weekday
2025-02-18,Idimu,11541,22575,1312,14760,1002,38908400,Automotive Fuel,Afternoon,Tuesday,48876,2314,Weekday
2025-02-19,Iwaya,6054,24618,1415,15617,1001,37028990,Cooking Gas,Afternoon,Wednesday,46289,2416,Weekday
2025-02-20,Maryland,11105,20489,1247,10678,2638,35138860,Lubricant,Night,Thursday,42272,3885,Weekday
2025-02-21,Idimu,7568,26981,1050,9288,1612,34300010,Lubricant,Morning,Friday,43837,2662,Weekday
2025-02-22,Iwaya,12233,29744,559,19882,1053,46824640,Automotive Fuel,Morning,Saturday,61859,1612,Weekend
2025-02-23,Maryland,14516,10908,1087,18957,1315,36813690,Lubricant,Afternoon,Sunday,44381,2402,Weekend
2025-02-24,Idimu,11014,10633,1173,17727,1417,33258540,Cooking Gas,Night,Monday,39374,2590,Weekday
2025-02-25,Iwaya,8049,22951,1247,15003,1411,36950710,Cooking Gas,Afternoon,Tuesday,46003,2658,Weekday
2025-02-26,Maryland,8469,11025,1143,15261,1736,29793620,Automotive Fuel,Morning,Wednesday,34755,2879,Weekday
2025-02-27,Idimu,9626,26193,859,14758,1300,39169510,Automotive Fuel,Night,Thursday,50577,2159,Weekday
2025-02-28,Iwaya,6169,17292,1032,12706,1638,29741770,Cooking Gas,Afternoon,Friday,36167,2670,Weekday
2025-03-01,Maryland,8269,14506,1032,18598,2233,34843060,Cooking Gas,Afternoon,Saturday,41373,3265,Weekend
2025-03-02,Idimu,5090,27573,1197,15893,2435,39235960,Cooking Gas,Afternoon,Sunday,48556,3632,Weekend
2025-03-03,Iwaya,10384,20739,622,16817,1046,37191390,Automotive Fuel,Afternoon,Monday,47940,1668,Weekday
2025-03-04,Maryland,8724,27610,560,14158,1149,38195710,Automotive Fuel,Night,Tuesday,50492,1709,Weekday
2025-03-05,Idimu,8110,29041,552,18237,1395,42203240,Automotive Fuel,Afternoon,Wednesday,55388,1947,Weekday
2025-03-06,Iwaya,5293,14538,867,8667,2986,24798490,Automotive Fuel,Morning,Thursday,28498,3853,Weekday
2025-03-07,Maryland,9308,21375,526,9300,2855,31979500,Automotive Fuel,Morning,Friday,39983,3381,Weekday
2025-03-08,Idimu,6377,16611,762,18550,1249,33376550,Automotive Fuel,Afternoon,Saturday,41538,2011,Weekend
2025-03-09,Iwaya,13723,28303,1415,13842,2021,44587490,Automotive Fuel,Morning,Sunday,55868,3436,Weekend
2025-03-10,Maryland,5722,19349,1435,18354,1694,36228530,Automotive Fuel,Afternoon,Monday,43425,3129,Weekday
2025-03-11,Idimu,7139,20137,1267,19394,1583,38225930,Lubricant,Morning,Tuesday,46670,2850,Weekday
2025-03-12,Iwaya,10144,23916,1192,8021,1339,33252770,Lubricant,Afternoon,Wednesday,42081,2531,Weekday
2025-03-13,Maryland,9854,13701,1180,11765,2689,30589100,Cooking Gas,Night,Thursday,35320,3869,Weekday
2025-03-14,Idimu,8935,25086,676,13208,2163,37028260,Automotive Fuel,Night,Friday,47229,2839,Weekday
2025-03-15,Iwaya,10478,20708,1485,15504,2192,38865180,Automotive Fuel,Afternoon,Saturday,46690,3677,Weekend
2025-03-16,Maryland,10468,26491,1183,9385,1865,36717100,Lubricant,Night,Sunday,46344,3048,Weekend
2025-03-17,Idimu,12380,16851,1249,18175,1332,38771850,Cooking Gas,Afternoon,Monday,47406,2581,Weekday
2025-03-18,Iwaya,13761,26494,682,11277,2639,40396140,Cooking Gas,Afternoon,Tuesday,51532,3321,Weekday
2025-03-19,Maryland,8596,24825,834,17534,1188,39638930,Lubricant,Afternoon,Wednesday,50955,2022,Weekday
2025-03-20,Idimu,5591,11985,937,17441,2708,30460920,Automotive Fuel,Morning,Thursday,35017,3645,Weekday
2025-03-21,Iwaya,5390,14993,1324,12604,1695,28211980,Lubricant,Afternoon,Friday,32987,3019,Weekday
2025-03-22,Maryland,14842,20112,1425,15619,2180,41714880,Lubricant,Afternoon,Saturday,50573,3605,Weekend
2025-03-23,Idimu,14091,27947,549,14319,2046,43312480,Lubricant,Morning,Sunday,56357,2595,Weekend
2025-03-24,Iwaya,7284,25173,1356,15424,1437,38406580,Cooking Gas,Morning,Monday,47881,2793,Weekday
2025-03-25,Maryland,7572,26343,823,19237,2500,42347290,Automotive Fuel,Afternoon,Tuesday,53152,3323,Weekday
2025-03-26,Idimu,6188,25910,942,13481,2216,36304520,Automotive Fuel,Afternoon,Wednesday,45579,3158,Weekday
2025-03-27,Iwaya,13657,11568,675,12289,1390,30370430,Cooking Gas,Night,Thursday,37514,2065,Weekday
2025-03-28,Maryland,6335,18207,1455,17637,1214,34990040,Cooking Gas,Night,Friday,42179,2669,Weekday
2025-03-29,Idimu,7551,20575,1101,17808,1257,36910010,Cooking Gas,Morning,Saturday,45934,2358,Weekend
2025-03-30,Iwaya,9877,12428,1181,19528,2316,35829510,Cooking Gas,Night,Sunday,41833,3497,Weekend
2025-03-31,Maryland,12143,23796,584,11554,2027,36939880,Automotive Fuel,Morning,Monday,47493,2611,Weekday
2025-01-01,Idimu,6317,27833,567,14480,2417,37891250,Automotive Fuel,Morning,Wednesday,48630,2984,Weekday
2025-01-02,Iwaya,7816,26981,917,17617,2258,41598890,Cooking Gas,Night,Thursday,52414,3175,Weekday
2025-01-03,Maryland,9041,25061,686,15513,2974,39690960,Automotive Fuel,Night,Friday,49615,3660,Weekday
2025-01-04,Idimu,12033,24100,558,19808,1500,43323310,Lubricant,Afternoon,Saturday,55941,2058,Weekend
2025-01-05,Iwaya,11190,10134,729,10172,1311,25892990,Cooking Gas,Night,Sunday,31496,2040,Weekend
2025-01-06,Maryland,13821,17006,1084,13554,1981,36385780,Cooking Gas,Afternoon,Monday,44381,3065,Weekday
2025-01-07,Idimu,12427,29678,1149,19227,1497,47947540,Lubricant,Afternoon,Tuesday,61332,2646,Weekday
2025-01-08,Iwaya,5247,11909,1077,19792,2507,32190490,Cooking Gas,Afternoon,Wednesday,36948,3584,Weekday
2025-01-09,Maryland,5738,20668,1402,13073,1459,32501710,Cooking Gas,Night,Thursday,39479,2861,Weekday
2025-01-10,Idimu,13579,23667,1310,10571,1685,38288270,Automotive Fuel,Night,Friday,47817,2995,Weekday
2025-01-11,Iwaya,9819,20053,758,15672,2115,36563490,Cooking Gas,Night,Saturday,45544,2873,Weekend
2025-01-12,Maryland,12221,23731,1210,11293,2305,38230410,Lubricant,Night,Sunday,47245,3515,Weekend
2025-01-13,Idimu,13158,29682,961,19655,1061,48102750,Lubricant,Morning,Monday,62495,2022,Weekday
2025-01-14,Iwaya,13277,26992,609,18542,1144,44897390,Lubricant,Morning,Tuesday,58811,1753,Weekday
2025-01-15,Maryland,14986,22564,877,15568,2019,42142010,Lubricant,Night,Wednesday,53118,2896,Weekday
2025-01-16,Idimu,12973,17421,1285,17403,2004,39597260,Cooking Gas,Afternoon,Thursday,47797,3289,Weekday
2025-01-17,Iwaya,14778,25417,605,18653,2102,45896710,Cooking Gas,Afternoon,Friday,58848,2707,Weekday
2025-01-18,Maryland,12884,24108,844,13068,1110,38680460,Cooking Gas,Night,Saturday,50060,1954,Weekend
2025-01-19,Idimu,12403,27285,664,14922,2271,42531890,Lubricant,Night,Sunday,54610,2935,Weekend
2025-01-20,Iwaya,10451,24947,1011,11474,2465,37579730,Cooking Gas,Afternoon,Monday,46872,3476,Weekday
2025-01-21,Maryland,12200,26724,977,15332,2580,43239840,Automotive Fuel,Morning,Tuesday,54256,3557,Weekday
2025-01-22,Idimu,12279,26281,533,18526,2638,44791520,Lubricant,Night,Wednesday,57086,3171,Weekday
2025-01-23,Iwaya,11806,19813,947,16758,1783,38884060,Lubricant,Afternoon,Thursday,48377,2730,Weekday
2025-01-24,Maryland,14095,14684,922,17497,1100,37242390,Lubricant,Afternoon,Friday,46276,2022,Weekday
2025-01-25,Idimu,8179,16871,1347,9548,1940,29272760,Lubricant,Night,Saturday,34598,3287,Weekend
2025-01-26,Iwaya,14260,12619,969,11874,2674,32844930,Automotive Fuel,Morning,Sunday,38753,3643,Weekend
2025-01-27,Maryland,8968,12359,1433,17468,2993,34493160,Cooking Gas,Morning,Monday,38795,4426,Weekday
2025-01-28,Idimu,9264,28742,730,8388,2244,35875860,Lubricant,Afternoon,Tuesday,46394,2974,Weekday
2025-01-29,Iwaya,9588,27272,1224,15790,1203,41336150,Automotive Fuel,Afternoon,Wednesday,52650,2427,Weekday
2025-01-30,Maryland,8231,27138,659,19604,2911,43680580,Cooking Gas,Morning,Thursday,54973,3570,Weekday
2025-01-31,Idimu,5160,22817,987,16451,1075,35078620,Automotive Fuel,Night,Friday,44428,2062,Weekday
2025-02-01,Iwaya,11428,18985,1457,17950,2091,40321600,Automotive Fuel,Morning,Saturday,48363,3548,Weekend
2025-02-02,Maryland,10884,22337,774,14105,1782,37310850,Automotive Fuel,Afternoon,Sunday,47326,2556,Weekend
2025-02-03,Idimu,14869,25489,1475,13432,1046,42572940,Cooking Gas,Afternoon,Monday,53790,2521,Weekday
2025-02-04,Iwaya,9331,24348,662,17398,2968,40937610,Automotive Fuel,Night,Tuesday,51077,3630,Weekday
2025-02-05,Maryland,14148,11629,760,10334,1554,29484630,Automotive Fuel,Morning,Wednesday,36111,2314,Weekday
2025-02-06,Idimu,6919,16453,1086,17928,1538,34063960,Automotive Fuel,Afternoon,Thursday,41300,2624,Weekday
2025-02-07,Iwaya,5615,16657,956,13203,1887,29380710,Lubricant,Afternoon,Friday,35475,2843,Weekday
2025-02-08,Maryland,7289,27708,962,12372,1052,36440190,Lubricant,Night,Saturday,47369,2014,Weekend
2025-02-09,Idimu,12533,29527,510,15707,2552,44661240,Automotive Fuel,Night,Sunday,57767,3062,Weekend
2025-02-10,Iwaya,10930,17636,1106,16257,1316,36322240,Lubricant,Afternoon,Monday,44823,2422,Weekday
2025-02-11,Maryland,6508,24050,716,16715,1318,36772100,Automotive Fuel,Morning,Tuesday,47273,2034,Weekday
2025-02-12,Idimu,6895,10498,552,19659,1848,30790130,Lubricant,Morning,Wednesday,37052,2400,Weekday
2025-02-13,Iwaya,10842,27074,859,15184,2837,42309930,Lubricant,Afternoon,Thursday,53100,3696,Weekday
2025-02-14,Maryland,10810,26145,867,10548,2977,38015560,Cooking Gas,Morning,Friday,47503,3844,Weekday
2025-02-15,Idimu,13200,23877,1359,16781,1452,43132670,Cooking Gas,Morning,Saturday,53858,2811,Weekend
2025-02-16,Iwaya,11176,20034,1463,8835,1909,33197450,Lubricant,Afternoon,Sunday,40045,3372,Weekend
2025-02-17,Maryland,7409,27019,699,19838,1860,42365260,Cooking Gas,Afternoon,Monday,54266,2559,Weekday
2025-02-18,Idimu,13175,12236,1125,17412,2102,36149190,Automotive Fuel,Afternoon,Tuesday,42823,3227,Weekday
2025-02-19,Iwaya,9142,15590,883,11087,2689,30132990,Cooking Gas,Night,Wednesday,35819,3572,Weekday
2025-02-20,Maryland,9871,27845,500,18812,2745,44261590,Cooking Gas,Night,Thursday,56528,3245,Weekday
2025-02-21,Idimu,7058,14531,1441,12096,1898,29152670,Automotive Fuel,Morning,Friday,33685,3339,Weekday
2025-02-22,Iwaya,10324,14727,817,11847,2517,30803540,Automotive Fuel,Afternoon,Saturday,36898,3334,Weekend
